"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"30e44f5369e6652e","indeed","https://id.indeed.com/viewjob?jk=30e44f5369e6652e","https://www.kalibrr.com/c/ics-compute/jobs/235736/telesales","ICS Compute visibility public","ICS Compute","Jakarta, JK, ID","fulltime","2024-09-01","","","","","",False,"","","","","","Who We Are
  
  

We are a System Integration Firm that dedicated ourselves to Cloud Computing Solutions. We establish ICS to answer the future challenges, to provide solutions on how to get to market faster, create new experiences, and build operational muscle for sustainable results. Rising to those challenges, we provide Implementation, Managed Services, Consultancies, for multinational and local enterprises, or startups that are building their path for greater future. We will provide the most effective, cost optimized solution to all of our customers. We will answer every challenge with innovation to transform our client businesses, so they could scale new opportunities and balance the two for a wise pivot for a sustainable business. Our company comprise of engineers that has been in the industry for more than 10 years, we are confident to provide the right and most effective solutions to all of our clients. As a leader in CLOUD solutions and services, ICS helps global enterprises and midsize organizations to increase the efficiency and flexibility of their mission-critical cloud infrastructure and support operations, through a dedicated team of cloud experts.We have done more than 50 migrations during our 3 years of establishments, and more than 100 customers currently. We have done not only migrations, but also SAP Implementation, Magento for e-commerce, and Dev-Ops implementation in many industries. We keep adding more competencies to serve more unique requirements from our customers.
  
  

Why us
  
  

We are advisors, strategists and engineers focused to emphasize your business. We are born in the cloud. Running in the business over a decade allow us to have experiences in many industries, shape us to provide the right solutions for all of our customers.
  
  

* Indonesia AWS Advance Partner


Since 2019, we’ve become the first local advance partner in Indonesia. ICS Compute has proven to deliver best practice for cloud computing to the customers, not only from reliability, security, scalability, but also for cost and infra optimization.
  
* Certified Cloud Engineer


We certified all of our engineers to give our customers convenience, and to make sure that we can provide and deliver best practice solutions to all of our customers base on their workload.
  
* Quality Cloud Infrastructure


By leverage the services from the cloud providers, we provide quality solutions, which include aspects of security, high availability, scalability, reliable and cost optimized.
  
* Best Value for Money


We will help our customers in their cloud journey, and it also include by helping them choose the right cloud providers, the right billing method, and do several tips and tricks that can help them to optimize their cloud usages.
  
* Rich Feature Solutions


All applications that was created currently already available to implement on Cloud. These movement will create a rich environment in Cloud Computing, from a-z of your requirements will be available on top of Cloud Computing. You don’t have to look elsewhere to find the right and effective features for your company. From Infrastructure as a service, transform your workload to combine platform as a service, software as a service and function as a service, and develop your data analytic by using the cloud services. Technology grows rapidly, providing thousands innovation every year, so modernize your company now and create greater opportunities with our solutions to compete in the market.
  
  

Our core values
  
  

In ICS, we believe the future will be all digital on top of Cloud. Because we believe Cloud Computing has the scalability, the flexibility and the optimization that will be required by all industries. Simply said, Cloud Computing is a necessities. So, we are obsessively passionate and focus on the curve of technology, following every innovation and optimization that will help our customers to reach their goals. Born in the cloud, we trained all of our Team to follow the curve of technology and innovation. So we could provide the best solution to boost their businesses with the most optimize cost. We are more than happy to assist and helped you in pursuing your dreams through technology and innovation. Let’s Grow Together!
  
  

**Responsibilities:**  

Proactively identify and pursue sales opportunities and deliver presentations demonstrating products and solutions etc. in regards to IT preferably Cloud Technology
  
  

Promoting IT solutions/ services for our clients via phone and email.
  
  

Achieve and exceed sales targets with a focus on generating new business and developing existing customer
  
  

Conduct thorough need analysis on client requirements with tailor-made pricing structures/deals.
  
  

Acquire new customers by cold calling, networking, and using various media social platforms
  
  

Monthly sales forecast preparation and submission
  
  

Use CRM to its full potential to report, measure, and control sales inputs and outcomes.
  
  

**Qualifications:**  

Diploma or Bachelor from any major (Preferably computer science, Information Technology)
  
  

Have at least 2 year’s experience in the field
  
  

Experience in quota carrying software or technology sales and account management experience, preferably in Cloud Technology.
  
  

Account management skills with a proven success in online hunting for new business
  
  

Good interpersonal and communication skills
  
  

Must be able to learn knowledge across Cloud Technology disciplines","https://id.indeed.com/cmp/Ics-Compute","","","","","","","","",""
"efa511b1dec0a1a1","indeed","https://id.indeed.com/viewjob?jk=efa511b1dec0a1a1","https://www.kalibrr.com/c/pt-cipta-piranti-sejahtera/jobs/246929/ai-engineer","PT Cipta Piranti Sejahtera visibility public","PT Cipta Piranti Sejahtera","Tangerang, BT, ID","fulltime","2024-09-01","","","","","",False,"","","","","","Cipta Piranti Sejahtera or better known as CPSSoft, an accounting software development company called ACCURATE Accounting Software. CPSSoft was founded in 1998 with the mission of providing quality and affordable software by the public.
  
  

CPSSoft first launched its first product in 1999, under the name ACCURATE 2000, and gained an excellent response that significantly enhanced the user. With more and more users, in 2001, CPSSoft ACCURATE launched version 2.0 which was the result of a previous version development where there are additional features and facilities. The last version that has been released by CPSSoft is ACCURATE 5 and ACCURATE Online.
  
Key Responsibilities
  
  

Develop, test, and deploy AI features using machine learning, deep learning, and generative AI model.
  
  

Collaborate with cross-functional teams to understand business needs and deliver AI-driven solutions.
  
  

Stay up-to-date with the latest advancements in AI and machine learning to continually improve our technologies.
  
  

Optimize models for performance, scalability, and accuracy.
  
  

Rapidly prototype solutions and contribute to product and feature discussions
  
  

Communicate results and insights to stakeholders effectively.
  
  

Nice to Have
  
  

Experience in the development of production-level AI application leveraging various LLMs (including prompt engineering best practices).
  
  

Experience in implementation Generative AI with opensource model, platform, and tools.
  
  

Experience in Generative AI with various data type such as text, image, voice, etc.
  
Accurate Indonesia is looking for AI Engineer! Please check this out.
  
  

Accurate is a business software to run, manage, and monitor the business with ease. We want to develop various AI solution features to improve the service and convenience provided to users.
  
  

Position Overview
  
  

As an AI Engineer, you’ll be responsible for the design, development, and deployment model for build AI features to satisfy demands. Leveraging your expertise in machine learning, deep learning, and generative AI to build AI solution to our product.
  
  

Qualifications
  
  

Bachelor's degree in Computer Science or related field with minimum 1 year experience (fresh-grad welcome to apply)
  
  

Proven experience in Generative AI, LLM, and machine learning implementation
  
  

Proficiency in programming languages such as Python, Java, C#, or C++, and familiar with familiar with the latest opensource AI platforms and tools
  
  

Strong analytical and problem-solving skills.
  
  

Excellent communication and teamwork abilities.","https://id.indeed.com/cmp/PT-Cipta-Piranti-Sejahtera","","","","","","","","",""
"561ec62fdad71fb2","indeed","https://id.indeed.com/viewjob?jk=561ec62fdad71fb2","https://careersindonesia.knaufapac.com/jobs/4921861-drafter-officer-contract","Drafter Officer (Contract)","Knauf Plasterboard Pty Ltd","Jakarta, JK, ID","","2024-08-31","","","","","",False,"","","","","","Requirement:

* Graduate level in D3/S1 Architectural or Civil Engineer
* Fresh graduate or 1 year working experience in material building
* Understand working drawing (CAD,SketchUp)
* Software proficiency : Adobe, AutoCAD, SketchUp, MS Office
* Good communication and analytical skills with the ability to negotiate at all levels
* Good command of English written and speaking


Job description:


1. Technical support to customer and project team for drawing (CAD,SketchUp), technical data, presentation and project


2. Assemble, update and maintain a library of technical information of Knauf&Jayaboard system.


3. Support Project Data Base, Project Study case and Event

  

4. Promote Knauf&Jayaboard system (existing and new product) in project market.","https://id.indeed.com/cmp/Knauf-Plasterboard-Pty-Ltd","https://www.knaufapac.com/en_au/","","","","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/aba29732d2b853e9da42394c0c0dfc10","","",""
"8ebdd0362965c7cd","indeed","https://id.indeed.com/viewjob?jk=8ebdd0362965c7cd","https://mekari.recruiterbox.com/jobs/fk0u9lm?fjb_hash=ezLpq610","AI Engineer","MEKARI (PT. Mid Solusi Nusantara)","Jakarta, JK, ID","","2024-08-30","","","","","",False,"","","","","","**Main Responsibilities:**



We are seeking a highly skilled and motivated AI Engineer to join our dynamic team. As an AI Engineer, you will play a crucial role in building cutting-edge AI features from the ground up and conducting research and development in the field of Machine Learning (ML) and Artificial Intelligence (AI) frameworks. This is an exciting opportunity for individuals passionate about pushing the boundaries of AI technology and contributing to innovative projects.


**Key Responsibilities:**


* Design, develop, and implement AI solutions, including but not limited to natural language processing, computer vision, and other machine learning algorithms.
* Collaborate with cross-functional teams to understand business requirements and translate them into AI-driven applications.
* Conduct research and stay updated on the latest advancements in ML and AI frameworks to propose and implement innovative solutions.
* Work on the full AI development lifecycle, from ideation and proof of concept to deployment and maintenance.
* Optimize and enhance existing AI models for improved performance and efficiency.
* Collaborate with data scientists and software engineers to integrate AI capabilities into existing systems.
* Stay abreast of industry trends and best practices to continuously improve the company's AI capabilities.

**Requirements:**


* Experience in building usable machine learning or AI products for end users.
* Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, or a related field.
* Proven experience in developing and implementing AI solutions, with a focus on building features from the ground up.
* Solid understanding of machine learning algorithms, neural networks, and deep learning techniques.
* Experience with popular LLM frameworks and libraries such as Langchain, LlamaIndex, etc.
* Familiarity with natural language processing, LLMs such as openAI, LLAMA2, Claude, etc.
* Demonstrated ability to work on cross-functional teams and communicate effectively.
* Strong problem-solving skills and a proactive mindset towards learning and adopting new technologies.

**Working Arrangement: Hybrid.**


**Office location: Sudirman, Jakarta, Indonesia.**



Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up.

Don't forget to check our Recruitment FAQ at **bit.ly/RecruitmentFAQ-Mekari** [ENG] or **bit.ly/RekrutmenMekari-FAQ** [INA] to find the answers to commonly asked questions regarding our recruitment process.  




We wish you the best. Hope to see you around soon!","https://id.indeed.com/cmp/Mekari-(pt.-Mid-Solusi-Nusantara)","","","","","","","","",""
"3471c244fe583932","indeed","https://id.indeed.com/viewjob?jk=3471c244fe583932","https://careers.shopee.sg/job-detail/122654","Back End Engineer (Engineering Efficiency Development) - Sea Labs","Shopee","Jakarta, JK, ID","","2024-08-30","","","","","",False,"","","","","","Department Engineering and Technology
LevelExperienced (Individual Contributor)
LocationIndonesia - Jakarta
The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.


**About the Team:**
The Engineering Efficiency Development team powers the internal tools used by multiple departments in Shopee through innovation and technology. As a Software Engineer in the team, you will collaborate with fellow Engineers and Product Managers to develop different internal portal systems to improve the team operation and communication efficiency. In the meanwhile, tackle unique problems on a global scale.**Job Description:*** Designing and building distributed systems optimized for performance, availability, and user experience
* Writing high-quality, clean, and maintainable code and respecting engineering best practices (source control, continuous integration, automation, design patterns, etc.)
* Researching, proposing and executing projects to enhance system functionalities, development processes, and shared middlewares
* Collaborating in a highly cross-functional environment with fellow Software Engineers, Product Managers, Quality Assurance Engineers, and Operation Engineers to deliver impact
**Requirements:*** Bachelor's or a higher degree in Computer Science or related fields
* Relevant experience in backend server development
* Familiar with commonly used languages, Golang is preferred.
* In-depth understanding of Data Structures and Algorithms, Networking, OS and other Computer Science fundamentals
* Familiar with commonly used Databases, such as MySQL
* Familiar with commonly used middlewares, such as Redis and Kafka
* Familiar with Kubernetes (K8S) Microservice Architecture
* Familiar with HTTP/TCP protocols
* Familiar with XML/JSON/Protocol Buffers
* Familiar with distributed systems, performance tuning, massive concurrency handling, and caching mechanisms","https://id.indeed.com/cmp/Shopee","http://www.shopee.sg","Singapore","5,001 to 10,000","Decline to state","","","","",""
"c29fc62992db77b0","indeed","https://id.indeed.com/viewjob?jk=c29fc62992db77b0","https://jobs.marriott.com/jobs/24135159?lang=en-us&utm_medium=jobboard&utm_source=indeed","Duty Engineer - The St. Regis Jakarta","Marriott International","Jakarta, JK, ID","","2024-08-30","","","","","",True,"","","Restaurants Travel And Leisure","","","**Job Number** 24135159  

**Job Category** Engineering & Facilities  

**Location** The St. Regis Jakarta, Rajawali Place, Jalan HR Rasuna Said Kav. B/4, Jakarta Selatan, Indonesia, Indonesia VIEW ON MAP  

**Schedule** Full-Time  

**Located Remotely?** N  

**Relocation?** N  

**Position Type** Management  

**JOB SUMMARY**

  



Manages all engineering/maintenance operations, including maintaining the building, grounds and physical plant with particular attention towards safety, security and asset protection. Accountable for managing the budget, capital expenditure projects, preventative maintenance and energy conservation. Responsible for maintaining regulatory requirements. Assists in leading the emergency response team for all facility issues.

  



**CANDIDATE PROFILE**

  



**Education and Experience**


* High school diploma or GED; 3 years experience in the engineering and maintenance or related professional area; technical training in HVAC-R/electrical/plumbing.


OR


* 2-year degree from an accredited university in Building and Construction, Engineering, Mechanics, or related major; 1 year experience in the engineering and maintenance or related professional area; technical training in HVAC-R/electrical/plumbing.

  



**CORE WORK ACTIVITIES**

  



**Managing Engineering Operations and Budgets**


* Manages the physical plant including equipment, refrigeration, HVAC, plumbing, water treatment and electrical systems.


* Ensures regulatory compliance to facility regulations and safety standards.


* Manages and controls heat, light and power and recommends current best methods for energy conservation and economical facility operations.


* Develops specifications and requirements for service contracts and administers such contracts to support building needs.


* Distributes preventive maintenance and repair work orders and monitors timeliness and quality of completion.


* Oversees and directs the maintenance of grounds, guestrooms, public space, restaurants, property vehicles and recreational facilities.


* Develops a long term plan for preventative maintenance and asset protection and overseeing execution of plan.


* Develops project plans in accordance with renovation or new construction needs.


* Contacts contractors for bids and supervising construction to ensure timely completion of projects within budgetary guidelines.


* Builds positive relationships with external customers such as city building/zoning department, fire prevention bureau and vendors.


* Ensures fire crew has complete understanding of all procedures, equipment and alarms.


* Performs monthly property inspection to ensure buildings and grounds are maintained in excellent condition.


* Conducts guest room and common area inspection to ensure guest satisfaction.


* Inspects and evaluates the physical condition of facilities in order to determine the type of work required.


* Recommends or arranges for additional services such as painting, repair work, renovations, and the replacement of furnishings and equipment.


* Selects and orders or purchasing new equipment, supplies, and furnishings.


* Manages parts and equipment inventory.

  



**Maintaining Property Standards**


* Ensures building and equipment licenses and certifications are current.


* Maintains property life safety systems (fire fighting equipment, sprinkler systems and alarm systems).

  



**Ensuring Exceptional Customer Service**


* Displays leadership in guest hospitality, exemplifying excellent customer service and creating a positive atmosphere for guest relations.


* Reviews comment cards, guest satisfaction results and other data to identify areas of improvement.


* Shares plans with property leadership and ensuring corrective action is taken to continuously improve guest satisfaction.


* Strives to improve service performance.
  

*Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.*

  

Combining timeless glamour with a vanguard spirit, St. Regis Hotels & Resorts is committed to delivering exquisite experiences at more than 50 luxury hotels and resorts in the best addresses around the world. Beginning with the debut of The St. Regis hotel in New York by John Jacob Astor IV at the dawn of the twentieth century, the brand has remained committed to an uncompromising level of bespoke and anticipatory service for all of its guests, delivered flawlessly by a team of gracious hosts that combine classic sophistication and modern sensibility, as well as our signature Butler Service. We invite you to explore careers at St. Regis. In joining St. Regis, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.","https://id.indeed.com/cmp/Marriott-International","https://www.marriott.com","Global Headquarters

7750 Wisconsin Avenue
Bethesda, MD 20817","10,000+","more than $10B (USD)","With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/35c575587ce04e0f016b7d1b7f3215cf","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/af5496b3763849e40430890f35da215b","Anthony Capuano","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/3d209db6b22c8f32fb7dd8f543021363"
"2e94c35f394b1635","indeed","https://id.indeed.com/viewjob?jk=2e94c35f394b1635","https://adarocareer.com/index.php/detail/job/ADR-2024082916610109","GEODETICAL ENGINEER","Adaro Energy","SS, ID","fulltime","2024-08-30","","","","","",False,"","","","","","Job Information


Position Name : Geodetical Engineer
  

Work Location : Sumatera Selatan
  

Employment Status : Permanent
  

Minimum Year of Experience : 2 Year(s)
  

Closing Date : 30 September 2024
  

Job Responsibilities


* Ensure the availability of operational support for survey activities, including survey equipment, mining progress maps, volume (both overburden and coal), and survey calibration to guarantee accurate survey results.
* Prepare required survey data (maps, progress volumes, actual roof and floor data, and land openings) on a regular basis.
* Ensure control over the execution of mining and project designs (elevation, slope, distance, etc.).
* Supervise the implementation of stake-out for mining and project designs in the field.
* Coordinate joint survey activities with contractors and perform calculations based on joint survey data.
* Ensure the implementation of safety, security, health, and environmental (SHE) aspects in survey operations.
  

Job Requirements


* Minimum 3 years in the same position
* Willing to be placed in Lahat, Sumatera Selatan
* Strong competencies in interpretation of Geodetical data, coal quality analysis,
* Able to use software Surpac. Agisoft and RiScan Pro","https://id.indeed.com/cmp/Adaro-Energy","","","","","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0ad19e52a6027502a35a486cdd9914ae","","",""
"ba8a3e4f10efaf5b","indeed","https://id.indeed.com/viewjob?jk=ba8a3e4f10efaf5b","https://vida.freshteam.com/jobs/u0p5abDSj2i1/software-development-enfineer-in-test-sdet","Software Development Enfineer in Test","Vida Digital Identity","Jakarta, JK, ID","fulltime","2024-08-30","","","","","",False,"","","","","","Jakarta, Jakarta
Work Type: Full Time
  
**Company Overview:**  

At VIDA Digital Identity, we are at the forefront of revolutionizing digital identity solutions. Our mission is to empower individuals with secure, decentralized digital identities. We are seeking a passionate Software Development Engineer in Test (SDET) with a specialization in API testing to join our innovative team.

**Position:** Software Development Engineer in Test (SDET) - API Testing  

**Location:** [City, State/Country]  

**Type:** Full-time

**Role Overview:**  

As an SDET specializing in API testing, you will play a pivotal role in ensuring the reliability, performance, and scalability of our software applications' APIs. You will collaborate closely with cross-functional teams to develop robust test strategies, automate test cases, and ensure the delivery of high-quality APIs.

**Key Responsibilities:**

* Design, develop, and execute automated test suites and frameworks specifically focused on API testing.
* Create and maintain API test cases, test plans, and test data sets to validate functionality, performance, and security.
* Collaborate with developers, product managers, and QA engineers to identify test scenarios and ensure comprehensive API test coverage.
* Perform API endpoint testing, validation of request and response formats, and verification of data integrity.
* Implement and maintain continuous integration/continuous deployment (CI/CD) pipelines for API testing automation.
* Analyze test results, troubleshoot issues, and work closely with development teams to resolve API-related bugs.
* Stay updated with industry best practices, tools, and technologies related to API testing and quality assurance.

**Requirements:**

* Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
* 3+ years of hands-on experience in software development or testing with a focus on API testing.
* Proficiency in designing, implementing, and executing API test automation using tools/frameworks like Postman, REST Assured, or similar.
* Strong understanding of RESTful APIs, HTTP protocols, and API testing methodologies.
* Experience with test management tools and version control systems (e.g., Git, SVN).
* Familiarity with scripting languages (e.g., JavaScript, Python, etc.) for test automation.
* Excellent problem-solving skills and the ability to work effectively in an Agile/Scrum environment.
* Strong communication skills and the ability to collaborate effectively within cross-functional teams.

**Preferred Qualifications:**

* Experience with performance testing of APIs using tools like JMeter or Gatling.
* Knowledge of security testing methodologies for APIs (OWASP API Security Top 10, etc.).
* Exposure to cloud platforms and services (AWS, Azure, etc.) for API testing in cloud environments.","https://id.indeed.com/cmp/Vida-Digital-Identity","","","","","","","","",""
"d01a981259724f71","indeed","https://id.indeed.com/viewjob?jk=d01a981259724f71","https://careers.siegwerk.com/Siegwerk/job/Tangerang-Inhouse-Technician-BT-15134/1114550901/?feedId=381433&utm_source=Indeed&utm_campaign=Siegwerk_Indeed","Inhouse Technician","SIEGWERK","Tangerang, BT, ID","","2024-08-30","","","","","",False,"","","","","namiraprisar.kinanti@siegwerk.com","Siegwerk is one of the world’s leading suppliers of Printing Inks and sustainable packaging solutions. Right now,
  
we are looking for a Sales Manager, Flexible Packaging Business unit, to join us in Indonesia.
  
This is an outstanding opportunity to make your mark with a genuine global leader in its field. We can offer you significant flexibility and support in a company focused on making a positive impact on the world. Siegwerk is poised to disrupt the global packaging industry; changing the way packaging is produced and consumed for the benefit of us all. At Siegwerk, you will have everything you need to help make that change.
  
  

**Locations :** Cikarang (Customer site), Indonesia.
  
  

Join us, let’s Do it. With Heart.
  
Main Accountabilities
  
Collection, consolidation, and analytical representation of data
  
Support building up InHouse concept
  
KPI tool development and implementation
  
Analysis and observation of competitors services
  
Availability of InHouse related sales & marketing material.
  
Carry out
  
Participation in the development and implementation of InHouse tools and SLA
  
InHouse Project management support
  
Set routines to measure and continuously improve InHouse performance (KPI)
  
Coordination of meetings and seminars.
  
Support
  
InHouse management and projects
  
Development and implementation of efficient InHouse systems and procedures
  
Establishment of standards, guidelines, Routines, Processes and KPIs
  
  

**Qualification:** Engineer or bachelor, or comparable with business / service background. Having experience in packaging or printing industry and customer service are preferable. Graduate degree of Chemistry from reputable university. Project and Process understanding Intercultural skills English writing and speaking. Other languages are benefit.
  
  

**Please contact :** Mobile 085814112705
  
  

Are you interested ?
  
  

Should you have any further questions, N amiraprisar Kinanti looks forward to your call! You can reach her via email on namiraprisar.kinanti@siegwerk.com / Mobile 085814112705
  
  

**Job ID:** 26147
  
  

Please use our online platform to apply for this position. Job applications via mail or e-mail cannot be accepted due to data security.
  
* For marketing purposes different job titles are mentioned here whereby the job ad title is relevant.","https://id.indeed.com/cmp/Siegwerk","https://www.siegwerk.com","Siegburg","1,001 to 5,000","$1B to $5B (USD)","We are a global family company that produces innovative, high-quality inks and offers you exciting tasks, great colleagues from all over the world and space for your own ideas.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8af04ecb344e858dcdbea6491a2c9941","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/a81fda6f422ce0587619344a5070a35f","Dr. Nicolas Wiedmann","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/d5b5964eb4fdc3cd4ca6af92c6bac248"
"d8585c21c19bcdfc","indeed","https://id.indeed.com/viewjob?jk=d8585c21c19bcdfc","http://id.indeed.com/job/ros-software-engineer-d8585c21c19bcdfc","ROS Software Engineer","PT Widya Inovasi Indonesia","Sleman, YO, ID","fulltime","2024-08-30","","","","","",False,"","","","","","JOB DESCRIPTION

* Mengolah data LIDAR point cloud
* Membuat program dalam Robot Operating System (ROS)
* Berintegrasi dengan divisi lain seperti Frontend dan Backend

REQUIREMENT

* Berpengalaman dengan Linux
* Menguasai bahasa pemrograman C atau C++
* Berpengalaman dengan Robot Operating System (ROS)
* Berpengalaman dalam mengolah data dari sensor (pernah menggunakan LIDAR) menjadi nilai plus
* Berpengalaman dalam mengolah 2D/3D images dan point cloud

Job Type: Full-time

Expected Start Date: 10/01/2024","https://id.indeed.com/cmp/PT-Widya-Inovasi-Indonesia-1","","","","","","","","",""
